Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,MatchID,Home Team Initials,Away Team Initials
1986,22 Jun 1986 - 16:00 ,Quarter-finals,Spain,1,1,Belgium,421,ESP,BEL
1986,22 Jun 1986 - 12:00 ,Quarter-finals,Argentina,2,1,England,392,ARG,ENG
1986,25 Jun 1986 - 12:00 ,Semi-finals,France,0,2,Germany FR,564,FRA,FRG
1986,25 Jun 1986 - 16:00 ,Semi-finals,Argentina,2,0,Belgium,388,ARG,BEL
1986,29 Jun 1986 - 12:00 ,Final,Argentina,3,2,Germany FR,393,ARG,FRG
1990,23 Jun 1990 - 17:00 ,Round of 16,Cameroon,2,1,Colombia,102,CMR,COL
1990,23 Jun 1990 - 21:00 ,Round of 16,Czechoslovakia,4,1,Costa Rica,129,TCH,CRC
1990,24 Jun 1990 - 17:00 ,Round of 16,Brazil,0,1,Argentina,25,BRA,ARG
1990,24 Jun 1990 - 21:00 ,Round of 16,Germany FR,2,1,Netherlands,196,FRG,NED
1990,25 Jun 1990 - 17:00 ,Round of 16,"rn"">Republic of Ireland",0,0,Romania,248,IRL,ROU
1990,25 Jun 1990 - 21:00 ,Round of 16,Italy,2,0,Uruguay,264,ITA,URU
1990,26 Jun 1990 - 17:00 ,Round of 16,Spain,1,2,Yugoslavia,181,ESP,YUG
1990,26 Jun 1990 - 21:00 ,Round of 16,England,1,0,Belgium,55,ENG,BEL
1990,30 Jun 1990 - 17:00 ,Quarter-finals,Yugoslavia,0,0,Argentina,31,YUG,ARG
1990,30 Jun 1990 - 21:00 ,Quarter-finals,Italy,1,0,"rn"">Republic of Ireland",243,ITA,IRL
1990,01 Jul 1990 - 17:00 ,Quarter-finals,Germany FR,1,0,Czechoslovakia,197,FRG,TCH
1990,01 Jul 1990 - 21:00 ,Quarter-finals,England,3,2,Cameroon,103,ENG,CMR
1990,03 Jul 1990 - 20:00 ,Semi-finals,Italy,1,1,Argentina,28,ITA,ARG
1990,04 Jul 1990 - 20:00 ,Semi-finals,Germany FR,1,1,England,159,FRG,ENG
1990,08 Jul 1990 - 20:00 ,Final,Germany FR,1,0,Argentina,27,FRG,ARG
1994,02 Jul 1994 - 12:00 ,Round of 16,Germany,3,2,Belgium,3085,GER,BEL
1994,02 Jul 1994 - 16:30 ,Round of 16,Spain,3,0,Switzerland,3086,ESP,SUI
1994,03 Jul 1994 - 12:00 ,Round of 16,Saudi Arabia,1,3,Sweden,3087,KSA,SWE
1994,03 Jul 1994 - 13:30 ,Round of 16,Romania,3,2,Argentina,3088,ROU,ARG
1994,04 Jul 1994 - 12:00 ,Round of 16,Netherlands,2,0,"rn"">Republic of Ireland",3089,NED,IRL
1994,04 Jul 1994 - 12:30 ,Round of 16,Brazil,1,0,USA,3090,BRA,USA
1994,05 Jul 1994 - 13:00 ,Round of 16,Nigeria,1,2,Italy,3091,NGA,ITA
1994,05 Jul 1994 - 16:30 ,Round of 16,Mexico,1,1,Bulgaria,3092,MEX,BUL
1994,09 Jul 1994 - 12:00 ,Quarter-finals,Italy,2,1,Spain,3097,ITA,ESP
1994,09 Jul 1994 - 14:30 ,Quarter-finals,Netherlands,2,3,Brazil,3098,NED,BRA
1994,10 Jul 1994 - 12:00 ,Quarter-finals,Bulgaria,2,1,Germany,3096,BUL,GER
1994,10 Jul 1994 - 12:30 ,Quarter-finals,Romania,2,2,Sweden,3095,ROU,SWE
1994,13 Jul 1994 - 16:00 ,Semi-finals,Bulgaria,1,2,Italy,3100,BUL,ITA
1994,13 Jul 1994 - 16:30 ,Semi-finals,Sweden,0,1,Brazil,3099,SWE,BRA
1994,17 Jul 1994 - 12:30 ,Final,Brazil,0,0,Italy,3104,BRA,ITA
1998,27 Jun 1998 - 16:30 ,Round of 16,Italy,1,0,Norway,8774,ITA,NOR
1998,27 Jun 1998 - 21:00 ,Round of 16,Brazil,4,1,Chile,8773,BRA,CHI
1998,28 Jun 1998 - 16:30 ,Round of 16,France,1,0,Paraguay,8776,FRA,PAR
1998,28 Jun 1998 - 21:00 ,Round of 16,Nigeria,1,4,Denmark,8775,NGA,DEN
1998,29 Jun 1998 - 16:30 ,Round of 16,Germany,2,1,Mexico,8777,GER,MEX
1998,29 Jun 1998 - 21:00 ,Round of 16,Netherlands,2,1,Yugoslavia,8778,NED,YUG
1998,30 Jun 1998 - 16:30 ,Round of 16,Romania,0,1,Croatia,8780,ROU,CRO
1998,30 Jun 1998 - 21:00 ,Round of 16,Argentina,2,2,England,8779,ARG,ENG
1998,03 Jul 1998 - 16:30 ,Quarter-finals,Italy,0,0,France,8781,ITA,FRA
1998,03 Jul 1998 - 21:00 ,Quarter-finals,Brazil,3,2,Denmark,8782,BRA,DEN
1998,04 Jul 1998 - 16:30 ,Quarter-finals,Netherlands,2,1,Argentina,8784,NED,ARG
1998,04 Jul 1998 - 21:00 ,Quarter-finals,Germany,0,3,Croatia,8783,GER,CRO
1998,07 Jul 1998 - 21:00 ,Semi-finals,Brazil,1,1,Netherlands,8785,BRA,NED
1998,08 Jul 1998 - 21:00 ,Semi-finals,France,2,1,Croatia,8786,FRA,CRO
1998,12 Jul 1998 - 21:00 ,Final,Brazil,0,3,France,8788,BRA,FRA
2002,15 Jun 2002 - 20:30 ,Round of 16,Denmark,0,3,England,43950050,DEN,ENG
2002,15 Jun 2002 - 15:30 ,Round of 16,Germany,1,0,Paraguay,43950049,GER,PAR
2002,16 Jun 2002 - 20:30 ,Round of 16,Spain,1,1,"rn"">Republic of Ireland",43950052,ESP,IRL
2002,16 Jun 2002 - 15:30 ,Round of 16,Sweden,1,2,Senegal,43950051,SWE,SEN
2002,17 Jun 2002 - 20:30 ,Round of 16,Brazil,2,0,Belgium,43950054,BRA,BEL
2002,17 June 2002 - 15:30 ,Round of 16,Mexico,0,2,USA,43950053,MEX,USA
2002,18 Jun 2002 - 15:30 ,Round of 16,Japan,0,1,Turkey,43950055,JPN,TUR
2002,18 Jun 2002 - 20:30 ,Round of 16,Korea Republic,2,1,Italy,43950056,KOR,ITA
2002,21 Jun 2002 - 15:30 ,Quarter-finals,England,1,2,Brazil,43950057,ENG,BRA
2002,21 Jun 2002 - 20:30 ,Quarter-finals,Germany,1,0,USA,43950058,GER,USA
2002,22 Jun 2002 - 20:30 ,Quarter-finals,Senegal,0,1,Turkey,43950060,SEN,TUR
2002,22 Jun 2002 - 15:30 ,Quarter-finals,Spain,0,0,Korea Republic,43950059,ESP,KOR
2002,25 Jun 2002 - 20:30 ,Semi-finals,Germany,1,0,Korea Republic,43950061,GER,KOR
2002,26 Jun 2002 - 20:30 ,Semi-finals,Brazil,1,0,Turkey,43950062,BRA,TUR
2002,30 Jun 2002 - 20:00 ,Final,Germany,0,2,Brazil,43950064,GER,BRA
2006,24 Jun 2006 - 17:00 ,Round of 16,Germany,2,0,Sweden,97410049,GER,SWE
2006,24 Jun 2006 - 21:00 ,Round of 16,Argentina,2,1,Mexico,97410050,ARG,MEX
2006,25 Jun 2006 - 17:00 ,Round of 16,England,1,0,Ecuador,97410051,ENG,ECU
2006,25 Jun 2006 - 21:00 ,Round of 16,Portugal,1,0,Netherlands,97410052,POR,NED
2006,26 Jun 2006 - 17:00 ,Round of 16,Italy,1,0,Australia,97410053,ITA,AUS
2006,26 Jun 2006 - 21:00 ,Round of 16,Switzerland,0,0,Ukraine,97410054,SUI,UKR
2006,27 Jun 2006 - 17:00 ,Round of 16,Brazil,3,0,Ghana,97410055,BRA,GHA
2006,27 Jun 2006 - 21:00 ,Round of 16,Spain,1,3,France,97410056,ESP,FRA
2006,30 Jun 2006 - 17:00 ,Quarter-finals,Germany,1,1,Argentina,97410057,GER,ARG
2006,30 Jun 2006 - 21:00 ,Quarter-finals,Italy,3,0,Ukraine,97410058,ITA,UKR
2006,01 Jul 2006 - 17:00 ,Quarter-finals,England,0,0,Portugal,97410059,ENG,POR
2006,01 Jul 2006 - 21:00 ,Quarter-finals,Brazil,0,1,France,97410060,BRA,FRA
2006,04 Jul 2006 - 21:00 ,Semi-finals,Germany,0,2,Italy,97410061,GER,ITA
2006,05 Jul 2006 - 21:00 ,Semi-finals,Portugal,0,1,France,97410062,POR,FRA
2006,09 Jul 2006 - 20:00 ,Final,Italy,1,1,France,97410064,ITA,FRA
2010,26 Jun 2010 - 16:00 ,Round of 16,Uruguay,2,1,Korea Republic,300061504,URU,KOR
2010,26 Jun 2010 - 20:30 ,Round of 16,USA,1,2,Ghana,300061503,USA,GHA
2010,27 Jun 2010 - 16:00 ,Round of 16,Germany,4,1,England,300061501,GER,ENG
2010,27 Jun 2010 - 20:30 ,Round of 16,Argentina,3,1,Mexico,300061502,ARG,MEX
2010,28 Jun 2010 - 16:00 ,Round of 16,Netherlands,2,1,Slovakia,300111113,NED,SVK
2010,28 Jun 2010 - 20:30 ,Round of 16,Brazil,3,0,Chile,300061500,BRA,CHI
2010,29 Jun 2010 - 16:00 ,Round of 16,Paraguay,0,0,Japan,300061497,PAR,JPN
2010,29 Jun 2010 - 20:30 ,Round of 16,Spain,1,0,Portugal,300061498,ESP,POR
2010,02 Jul 2010 - 16:00 ,Quarter-finals,Netherlands,2,1,Brazil,300061507,NED,BRA
2010,02 Jul 2010 - 20:30 ,Quarter-finals,Uruguay,1,1,Ghana,300061508,URU,GHA
2010,03 Jul 2010 - 16:00 ,Quarter-finals,Argentina,0,4,Germany,300061505,ARG,GER
2010,03 Jul 2010 - 20:30 ,Quarter-finals,Paraguay,0,1,Spain,300061506,PAR,ESP
2010,06 Jul 2010 - 20:30 ,Semi-finals,Uruguay,2,3,Netherlands,300061512,URU,NED
2010,07 Jul 2010 - 20:30 ,Semi-finals,Germany,0,1,Spain,300111114,GER,ESP
2010,11 Jul 2010 - 20:30 ,Final,Netherlands,0,1,Spain,300061509,NED,ESP
2014,28 Jun 2014 - 13:00 ,Round of 16,Brazil,1,1,Chile,300186487,BRA,CHI
2014,28 Jun 2014 - 17:00 ,Round of 16,Colombia,2,0,Uruguay,300186491,COL,URU
2014,30 Jun 2014 - 13:00 ,Round of 16,France,2,0,Nigeria,300186462,FRA,NGA
2014,30 Jun 2014 - 17:00 ,Round of 16,Germany,2,1,Algeria,300186460,GER,ALG
2014,04 Jul 2014 - 17:00 ,Quarter-finals,Brazil,2,1,Colombia,300186461,BRA,COL
2014,04 Jul 2014 - 13:00 ,Quarter-finals,France,0,1,Germany,300186485,FRA,GER
2014,08 Jul 2014 - 17:00 ,Semi-finals,Brazil,1,7,Germany,300186474,BRA,GER
2014,13 Jul 2014 - 16:00 ,Final,Germany,1,0,Argentina,300186501,GER,ARG
2014,09 Jul 2014 - 17:00 ,Semi-finals,Netherlands,0,0,Argentina,300186490,NED,ARG
2014,05 Jul 2014 - 17:00 ,Quarter-finals,Netherlands,0,0,Costa Rica,300186488,NED,CRC
2014,05 Jul 2014 - 13:00 ,Quarter-finals,Argentina,1,0,Belgium,300186504,ARG,BEL
2014,29 Jun 2014 - 13:00 ,Round of 16,Netherlands,2,1,Mexico,300186508,NED,MEX
2014,29 Jun 2014 - 17:00 ,Round of 16,Costa Rica,1,1,Greece,300186459,CRC,GRE
2014,01 Jul 2014 - 13:00 ,Round of 16,Argentina,1,0,Switzerland,300186503,ARG,SUI
2014,01 Jul 2014 - 17:00 ,Round of 16,Belgium,2,1,USA,300186497,BEL,USA
2014,28 Jun 2014 - 13:00 ,Round of 16,Brazil,1,1,Chile,300186487,BRA,CHI
2014,28 Jun 2014 - 17:00 ,Round of 16,Colombia,2,0,Uruguay,300186491,COL,URU
2014,29 Jun 2014 - 13:00 ,Round of 16,Netherlands,2,1,Mexico,300186508,NED,MEX
2014,29 Jun 2014 - 17:00 ,Round of 16,Costa Rica,1,1,Greece,300186459,CRC,GRE
2014,30 Jun 2014 - 13:00 ,Round of 16,France,2,0,Nigeria,300186462,FRA,NGA
2014,30 Jun 2014 - 17:00 ,Round of 16,Germany,2,1,Algeria,300186460,GER,ALG
2014,01 Jul 2014 - 13:00 ,Round of 16,Argentina,1,0,Switzerland,300186503,ARG,SUI
2014,01 Jul 2014 - 17:00 ,Round of 16,Belgium,2,1,USA,300186497,BEL,USA
2014,04 Jul 2014 - 13:00 ,Quarter-finals,France,0,1,Germany,300186485,FRA,GER
2014,04 Jul 2014 - 17:00 ,Quarter-finals,Brazil,2,1,Colombia,300186461,BRA,COL
2014,05 Jul 2014 - 13:00 ,Quarter-finals,Argentina,1,0,Belgium,300186504,ARG,BEL
2014,05 Jul 2014 - 17:00 ,Quarter-finals,Netherlands,0,0,Costa Rica,300186488,NED,CRC
2014,08 Jul 2014 - 17:00 ,Semi-finals,Brazil,1,7,Germany,300186474,BRA,GER
2014,09 Jul 2014 - 17:00 ,Semi-finals,Netherlands,0,0,Argentina,300186490,NED,ARG
2014,13 Jul 2014 - 16:00 ,Final,Germany,1,0,Argentina,300186501,GER,ARG
